                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.2835,                0.68111,                0.87918,                0.90964,                0.91304,                0.91233,                0.61483,                 1.0996,                0.67814,                0.85042,               0.001109,               0.001109,               0.001109
                     48,                 1.2769,                0.67484,                0.86034,                0.92842,                0.93992,                0.92925,                0.55605,                  1.218,                0.69157,                0.86526,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.3115,                0.65636,                0.88666,                0.91306,                0.91321,                0.90173,                0.44058,                 1.3985,                0.75876,                0.90007,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2814,                0.65519,                0.87635,                0.92749,                0.92687,                0.92756,                0.48268,                 1.3559,                0.81026,                0.88911,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.2638,                0.67373,                0.85745,                0.89765,                0.89855,                0.90158,                0.58984,                 1.2187,                0.69566,                0.86541,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.2217,                0.66889,                0.86358,                0.89695,                0.88304,                0.90555,                0.58187,                 1.2117,                0.70353,                0.86284,                0.00101,                0.00101,                0.00101
                     53,                 1.2098,                0.64192,                0.86766,                0.90811,                0.85937,                0.89894,                0.57635,                 1.2108,                 0.7204,                0.86211,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.3119,                0.71745,                0.86169,                0.84959,                0.82609,                0.87638,                0.59607,                 1.1276,                0.83565,                0.84763,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.116,                0.60031,                0.85533,                0.90929,                0.84058,                0.90851,                0.64782,                  1.038,                0.72807,                0.83791,              0.0009506,              0.0009506,              0.0009506
                     56,                  1.222,                0.63532,                0.85864,                0.93433,                0.89855,                0.92115,                0.64874,                 1.0655,                0.65207,                0.83947,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1887,                0.61942,                0.86075,                0.94028,                0.91267,                0.92151,                0.64545,                 1.1026,                0.64491,                0.84926,               0.000911,               0.000911,               0.000911
                     58,                 1.1684,                0.63694,                0.87634,                0.95509,                0.92464,                0.91047,                0.55545,                  1.272,                0.67457,                0.87711,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1975,                0.62057,                0.85502,                0.94096,                0.92397,                0.90549,                0.59846,                 1.1512,                0.68856,                0.86045,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.1476,                0.59859,                0.84306,                0.92735,                0.92496,                0.90784,                 0.6008,                 1.1435,                0.79111,                0.85481,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1661,                0.62094,                0.86863,                0.92507,                0.91304,                  0.908,                0.59504,                 1.1921,                0.78862,                0.86661,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.1357,                0.59717,                0.85917,                0.93939,                0.92754,                0.90972,                0.61507,                 1.1557,                0.68131,                0.86234,               0.000812,               0.000812,               0.000812
                     63,                  1.213,                0.61009,                0.86988,                0.93887,                0.92754,                0.91834,                0.60373,                 1.1419,                0.65013,                0.85794,              0.0007922,              0.0007922,              0.0007922
